"run","tick","Harmony","EquilibriumTime"
2,32.0,3.7335392914091095E-5,-1.0
2,33.0,3.879229005762241E-5,-1.0
2,34.0,4.0303911866044557E-5,-1.0
2,35.0,4.1872190170476895E-5,-1.0
2,36.0,4.349911749024758E-5,-1.0
2,37.0,4.51867485684742E-5,37.0
2,38.0,4.6937201911074836E-5,38.0
2,39.0,4.87526613295292E-5,39.0
2,40.0,5.0635377487144074E-5,40.0
2,41.0,5.258766944810669E-5,41.0
2,42.0,5.461192622820998E-5,42.0
2,43.0,5.671060834578826E-5,43.0
2,44.0,5.888624937109687E-5,44.0
2,45.0,6.114145747209542E-5,45.0
2,46.0,6.34789169543422E-5,46.0
2,47.0,6.590138979247203E-5,47.0
2,48.0,6.841171715050647E-5,48.0
2,49.0,7.101282088803011E-5,49.0
2,50.0,7.370770504905702E-5,50.0
2,51.0,7.649945733020555E-5,51.0
2,52.0,7.939125052459605E-5,52.0
2,53.0,8.238634393768406E-5,53.0
2,54.0,8.548808477103898E-5,54.0
2,55.0,8.869990946987724E-5,55.0
2,56.0,9.202534502995728E-5,56.0
2,57.0,9.546801025924146E-5,57.0
2,58.0,9.903161698952941E-5,58.0
2,59.0,1.027199712330664E-4,59.0
2,60.0,1.0653697427892922E-4,60.0
2,61.0,1.1048662372379508E-4,61.0
2,62.0,1.1457301443150124E-4,62.0
2,63.0,1.1880033941561004E-4,63.0
2,64.0,1.2317289063900334E-4,64.0
2,65.0,1.2769505972434433E-4,65.0
2,66.0,1.3237133856906422E-4,66.0
2,67.0,1.3720631985835642E-4,67.0
2,68.0,1.4220469746949353E-4,68.0
2,69.0,1.4737126676062412E-4,69.0
2,70.0,1.5271092473705583E-4,70.0
2,71.0,1.582286700878929E-4,71.0
2,72.0,1.6392960308576996E-4,72.0
2,73.0,1.6981892534230996E-4,73.0
2,74.0,1.7590193941183444E-4,74.0
2,75.0,1.8218404823577323E-4,75.0
2,76.0,1.8867075442015362E-4,76.0
2,77.0,1.9536765933850358E-4,77.0
2,78.0,2.0228046205247706E-4,78.0
2,79.0,2.0941495804250584E-4,79.0
2,80.0,2.1677703774080153E-4,80.0
2,81.0,2.2437268485907594E-4,81.0
2,82.0,2.3220797450341954E-4,82.0
2,83.0,2.402890710688757E-4,83.0
2,84.0,2.4862222590638E-4,84.0
2,85.0,2.572137747548909E-4,84.0
2,86.0,2.6607013493173254E-4,84.0
2,87.0,2.751978022743982E-4,84.0
2,88.0,2.8460334782732225E-4,84.0
2,89.0,2.942934142674295E-4,84.0
2,90.0,3.0427471206260825E-4,84.0
2,91.0,3.145540153576265E-4,84.0
2,92.0,3.251381575824288E-4,84.0
2,93.0,3.3603402677820647E-4,84.0
2,94.0,3.472485606371341E-4,84.0
2,95.0,3.587887412522023E-4,84.0
2,96.0,3.706615895741635E-4,84.0
2,97.0,3.828741595732301E-4,84.0
2,98.0,3.954335321038354E-4,84.0
2,99.0,4.083468084714775E-4,84.0
2,100.0,4.216211037014213E-4,84.0
4,1.0,1.426012238132772E-4,-1.0
4,2.0,2.674970404728216E-4,-1.0
4,3.0,4.5587768303763436E-4,-1.0
4,4.0,7.151565840705238E-4,-1.0
4,5.0,0.001047874768222018,-1.0
4,6.0,0.001453258424977696,-1.0
4,7.0,0.0019283153057937132,-1.0
4,8.0,0.002468608205950802,-1.0
4,9.0,0.0030688018571754646,-1.0
4,10.0,0.003723050366438962,-1.0
4,11.0,0.0044252720159705695,-1.0
4,12.0,0.005169344097052698,-1.0
4,13.0,0.005949240612582382,-1.0
4,14.0,0.006759128845868529,-1.0
4,15.0,0.007593436045378826,-1.0
4,16.0,0.008446894181347468,-1.0
4,17.0,0.009314568445989668,-1.0
4,18.0,0.010191873584155282,-1.0
4,19.0,0.011074581039075371,-1.0
4,20.0,0.011958819127776465,-1.0
4,21.0,0.012841067918366355,-1.0
